Peer review survey results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. ratings,,Median ranking,
Country of respondent,UK,India,UK,UK,UK,UK,USA,Denmark,UK,USA,UK,Canada,UK,Australia,UK,UK,USA,UK,Finland,UK,USA,Other...,UK,USA,USA,Singapore,Hong Kong,USA,UK,UK,Finland,Belgium,Israel,Australia,USA,UK,USA,Denmark,USA,Hungary,UK,Netherlands,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked scholars,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fidel, Raya",,,,,,1,2,,,2,,,,3,,2,2,,2,,,,0,2,3,,,,0,,2,,3,2,,,3,2,2,,,,17,,2,1.941176471
"Kantor, Paul B.",,,,2,,2,1,,,2,,,2,2,,3,3,,,,,,0,3,,,,,3,,,,,2,1,,1,,2,,,,15,,2,1.933333333
"Sanderson, Mark ",,,,3,,,2,,1,2,,,,4,,3,,,3,2,,,0,,3,,,,0,,,,,,,,,2,1,,1,,14,,2,1.928571429
"Cole, Charles",,,,,,2,2,,,,,,,2,,,1,,,3,,,0,2,,,,,,3,3,,,2,1,,,2,,,,,12,,2,1.916666667
"Brophy, Peter",,,3,,3,0,,,1,,2,,3,2,1,,,,,2,,,3,,,,,,,,,,,,,,,,,,1,,11,,2,1.909090909
"Zitt, Michel",,3,,,,,,,,,,,,,2,,,1,,,,,0,2,,,,,,,,1,3,2,,,,,1,3,,3,11,,2,1.909090909
"Lalmas, Mounia ",,,,2,,,2,,,,,,,3,,,,,3,2,,,0,,,,,,0,,,,,,1,3,,3,,,,,10,,2,1.9
"Koenig, Michael E D.",,2,,,,2,1,,,,,,2,2,,,1,1,,2,3,,2,2,,2,,,,1,,1,,2,,4,,0,,,4,2,19,,2,1.894736842
"Hernon, Peter",,,,,,,,,,,,,2,2,,,2,,,,,,2,2,,,,2,,,,,,2,1,,,,,,,,8,,2,1.875
"Feather, John",,,3,,3,1,,,1,,2,,0,2,0,3,,,,,,2,2,,,3,,,,,,,,,,,,,,,,,12,,2,1.833333333
"Jose, Joemon M.",,,,2,,,,,,,,,,,,3,,,2,,,,0,,,,,,,,,,,,,,,2,,,,,5,,2,1.8
"Ruger, Stefan ",,,,2,,,,,,2,,,2,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,5,,2,1.8
"Raper, Jonathan",,2,,,2,,,,2,,,,1,,2,3,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,9,,2,1.777777778
"Jansen, Jim",,,,,,,,,,1,,,,2,,4,1,,,,,,0,,,,3,,1,,,,,,,,,2,,,,,8,,1.5,1.75
"Lewison, G.",,2,,,,1,,,1,,,,,,2,,,,,,,,0,,,,,,,,,1,3,2,,,,1,,3,,3,11,,2,1.727272727
"Enser, Peter ",,,,,1,1,,,0,3,2,,4,2,0,2,2,,,,,,3,,,,,,0,,,,,,1,3,,,2,,1,,16,,2,1.6875
"Losee, Robert M.",,,,,,,2,,,,,,,3,,,1,,,,,,0,2,,,,,,,,2,,2,2,,1,,,,,,9,,2,1.666666667
"Wildemuth, Barbara M.",,,,,,,2,,,2,,,,2,,,,,,,,,0,2,,,,,,,,,,2,2,,2,,1,,,,9,,2,1.666666667
"Smith, Linda C.",,,,,,2,,,,2,,,2,2,,,2,,,,,,0,2,,,,,,,,,,2,0,,3,,1,,,,11,,2,1.636363636
"Schamber, Linda",,,,,,,1,,,,,,,2,,,2,,,,,,0,3,,,,,,,2,,,2,1,,,,,,,,8,,2,1.625
"Vaughan, Liwen ",,,,,,,1,,,,,,,3,,,1,,,,,,0,,,,,,,,,2,2,2,,,,2,1,,,,9,,2,1.555555556
"Budd, John M.",,,,,,1,,2,,,,,,1,,,1,,,3,,1,0,2,3,,,,,,,,,,,,,,,,,,9,,1,1.555555556
"Gibb, F.",,,,,3,0,,,,,,,1,,,2,,,,2,,,1,,,,,,,,,,,,,,,1,,,2,,8,,1.5,1.5
"Marcella, Rita ",,,3,,2,1,,,0,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,8,,1.5,1.5
"Morris, Anne ",,,,,2,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,1.5,1.5
"Kretschmer, Hildrun ",,3,,,,,,,,,,,,,,,,1,,,,,0,2,,,,,,,,1,,2,,,,1,1,,,2,9,,1,1.444444444
"Rowley, Jennifer",,,2,,2,,,,0,,0,,1,,0,,,,1,,,3,1,2,,3,,,,,,,,2,,,,,,,1,,13,,1,1.384615385
"Warner, Julian",,,,,2,,,1,,,,,,2,1,,,,,,,,1,1,,,,,,,,,,2,,,,,1,,,,8,,1,1.375
"Gupta, BM.",,2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,,,,,,,3,,2,1.333333333
"Goker, Ayse ",,,,,,,1,,,,,,,2,,2,,,1,1,,,1,,,,,,0,,,,,,,,,2,1,,,,9,,1,1.222222222
"Gunter, Barrie",,3,,,,1,,,1,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,5,,1,1.2
"Tait, John",,,,1,,,,,,,,,,2,,3,,,,,,,0,,,,,,0,,,,,,,,,,,,,,5,,1,1.2
"Rowland, Fytton",,,2,,,0,,,0,,2,2,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,8,,1,1.125
"Damodaran, Leela ",,,,,1,,,,,,1,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,4,,1,1
"Debackere, Koenraad",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,2,3,,1,1
"Dilevko, Juris",,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,2,,1,1
"Jamali, Hamid R.",4,,,,,,,,1,,,,,,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,5,,0,1
"Williams, Peter",,,3,,,,,,2,,,,,,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,5,,0,1
"Garg, KC.",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,0,0
"Jiang, James J.",,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.5,
